sentence	option1	option2
The fresh cabbage was added to the sausages but not to the lentils, as the _ worked well with the flavor.	sausages	lentils
Jane added fertilizer to the vegetables in the ground but not to the pot. The ones in the _ did grow well.	pot	ground
Jane added fertilizer to the vegetables in the ground but not to the pot. The ones in the _ did not grow.	pot	ground
Saving up for a massage for his body, Billy got one with acupuncture included instead of hot stone as the _ felt bad to him.	acupuncture	hot stone
Saving up for a massage for his body, Billy got one with acupuncture included instead of hot stone as the _ felt good to him.	acupuncture	hot stone
It was a challenge to wash the cooking pot in the kitchen sink because the _ was shallow.	cooking pot	kitchen sink
It was a challenge to wash the cooking pot in the kitchen sink because the _ was deep.	cooking pot	kitchen sink
During the class, the yoga teacher decided to wear the white pants instead of the grey pants because the _ were uncomfortable.	white pants	grey pants
During the class, the yoga teacher decided to wear the white pants instead of the grey pants because the _ were comfortable.	white pants	grey pants
She moved all the furniture from the living room to her bedroom so the _ became empty.	living room	bedroom
At night, the eagle could see more of the cave than the panther because the _ had better day vision.	eagle	panther
At night, the eagle could see more of the cave than the panther because the _ had better night vision.	eagle	panther
The shopper took the bags from the cart and put them in the trunk of his car until the _ was full.	trunk	cart
The shopper took the bags from the cart and put them in the trunk of his car until the _ was empty.	trunk	cart
The construction worker put cement from the wheelbarrows into the containers until the _ were full.	containers	wheelbarrows
The construction worker put cement from the wheelbarrows into the containers until the _ were empty.	containers	wheelbarrows
Bob poured the entire bag of concrete into the hole that he dug until the _ was full.	bag	hole
Bob poured the entire bag of concrete into the hole that he dug until the _ was empty.	bag	hole
Kevin had become the victim of mail theft several times but Hunter never did because _ did not have a secure mailbox.	Kevin	Hunter
Kevin had become the victim of mail theft several times but Hunter never did because _ had a secure mailbox.	Kevin	Hunter
I saw the signs before I saw the posters, because the _ were put in a great spot.	signs	posters
I saw the signs before I saw the posters, because the _ were put in a terrible spot.	signs	posters
The vegetables cooked in the pan were better than the ones cooked in the microwave because the _ makes the vegetables crispy.	pan	microwave
The vegetables cooked in the pan were better than the ones cooked in the microwave because the _ makes the vegetables too soft.	pan	microwave
Logan quits his job on Friday, but Joel continues to work at the same company, so _ was likely content.	Logan	Joel
Logan quits his job on Friday, but Joel continues to work at the same company, so _ was likely unhappy.	Logan	Joel
The lifespan of Justin will be shorter than Brian because _ doesn't take care of his body well.	Justin	Brian
The lifespan of Justin will be longer than Brian because _ doesn't take care of his body well.	Justin	Brian
The restaurant worker poured water from the jug into the pot until the _ was empty.	jug	pot
The restaurant worker poured water from the jug into the pot until the _ was full.	jug	pot
Emily wanted to soak her feet, she poured all the water from the vase into the soaker until the _ was empty.	vase	soaker
Emily wanted to soak her feet, she poured all the water from the vase into the soaker until the _ was full.	vase	soaker
The box got the scale broken after it was placed on it because the _ is too small.	box	scale
The box got the scale broken after it was placed on it because the _ is too big.	box	scale
Jane wanted to fly a family in her plane to a vacation spot with their luggage but the _ was too small.	luggage	plane
Jane wanted to fly a family in her plane to a vacation spot with their luggage but the _ was too large.	luggage	plane
Donald was the better marketing consultant for the company than Benjamin because _ hated talking to people.	Donald	Benjamin
Donald was the better marketing consultant for the company than Benjamin because _ loved talking to people.	Donald	Benjamin
Cecily could only lift the cabbage and had to get Jenni to lift the pumpkin for her. The _ was heavy.	cabbage	pumpkin
Cecily could only lift the cabbage and had to get Jenni to lift the pumpkin for her. The _ was light.	cabbage	pumpkin
Kayla made cornmeal porridge in the instant pot while Felicia tried to make it in the microwave, _ was less  advance.	Kayla	Felicia
Kayla made cornmeal porridge in the instant pot while Felicia tried to make it in the microwave, _ was more advance.	Kayla	Felicia
I've decided to install a shower instead of a bathtub. The _ is expansive and inconvenient.	shower	bathtub
Agnes wanted to add a lot of sugar from the canister to her coffee cup, but the _ was empty.	canister	cup
Agnes wanted to add a lot of sugar from the canister to her coffee cup, but the _ was full.	canister	cup
Jeffrey was feeling sleepy all day, while Steven was full of energy, because _ had slept soundly the night before.	Jeffrey	Steven
Jeffrey was feeling sleepy all day, while Steven was full of energy, because _ had slept restlessly the night before.	Jeffrey	Steven
Jessica beat Jennifer at darts at the fair, so ( _ ) won the the goldfish in a bag.	Jessica	Jennifer
Jessica lost to Jennifer at darts at the fair, so ( _ ) won the goldfish in a bag.	Jessica	Jennifer
As the gas filled the room, most people opted for the mask instead of the bag since the _ was inefficient.	mask	bag
As the gas filled the room, most people opted for the mask instead of the bag since the _ was efficient.	mask	bag
The fan blew glitter off the table and onto the ground until the _ was full of glitter.	table	ground
The fan blew glitter off the table and onto the ground until the _ was empty of glitter.	table	ground
Laura didn't mind giving her snack to Erin because _ had already eaten lunch and was full.	Laura	Erin
Angela always changes the bedpan of Megan because _ is a nurse at the hospital.	Angela	Megan
Angela always changes the bedpan of Megan because _ is a patient at the hospital.	Angela	Megan
I put my class notes in my book bag and misplaced it so I got an unforgettable backpack because the _ was plain.	book bag	backpack
I put my class notes in my book bag and misplaced it so I got an unforgettable backpack because the _ was gaudy.	book bag	backpack
I tried to put the box in the safe but it didn't fit, because the _ was too miniscule.	box	safe
I tried to put the box in the safe but it didn't fit, because the _ was too large.	box	safe
Jennifer gave the steaming cup of tea to Lindsey, because _ liked their tea hot.	Jennifer	Lindsey
Jennifer gave the steaming cup of tea to Lindsey, because _ liked their tea cold.	Jennifer	Lindsey
Nelson liked to date teen girls but Joel liked older women. _ went to the mall to look for potential dates.	Nelson	Joel
Nelson liked to date teen girls but Joel liked older women. _ went to the rest home to look for potential dates.	Nelson	Joel
Bill poured the entire bowl of chicken wing bone into the hot pan on the stove until the _ was empty.	bowl	pan
Bill poured the entire bowl of chicken wing bone into the hot pan on the stove until the _ was full.	bowl	pan
The roses were more colorful than the carnations because the _ were in full bloom.	roses	carnations
The roses were more dull than the carnations because the _ were in full bloom.	roses	carnations
After losing a large contract, Angela successfully laid the blame onto Jessica, causing _ to feel relieved.	Angela	Jessica
After losing a large contract, Angela successfully laid the blame onto Jessica, causing _ to become irate.	Angela	Jessica
The sparkly jewelry will not fit in the jewelry box because the _ is too tiny.	box	jewelry
The sparkly jewelry will not fit in the jewelry box because the _ is too huge.	box	jewelry
Julie emptied the entire cup of chicken into the hot pan on the stove until the _ was full.	cup	pan
Julie emptied the entire cup of chicken into the hot pan on the stove until the _ was empty.	cup	pan
My parents were happy to let me exchange my sweatshirt at the store for a tank top. I think the _ looks baggy on me.	sweatshirt	tank top
It was easy to get the honey out of a jar than a bottle, because the _ has a wide mouth.	jar	bottle
It was easy to get the honey out of a jar than a bottle, because the _ has a narrow mouth.	jar	bottle
My real estate seminar started at 6:00 and I take the bus home at 7:00 so there wasn't much time.  Thankfully, the _ was delayed so I made it.	seminar	bus
My real estate seminar started at 6:00 and I take the bus home at 7:00 so there wasn't much time.  Thankfully, the _ was short so I made it.	seminar	bus
The soda bottle that Jill purchased would not fit into her cup holder, the _ was too wide.	bottle	cup holder
The soda bottle that Jill purchased would not fit into her cup holder, the _ was too narrow.	bottle	cup holder
I poured tea from my mug that the waiter gave me to the cup until the _ was empty.	cup	mug
I poured tea from my mug that the waiter gave me to the cup until the _ was full.	cup	mug
We will need more eggs in order to fill up the bowl because the _ is small.	egg	bowl
We will need more eggs in order to fill up the bowl because the _ is big.	egg	bowl
Elena always used paper bags but Patricia used plastic bags, because _ was concerned about the environment.	Elena	Patricia
Elena always used paper bags but Patricia used plastic bags, because _ was unconcerned about the environment.	Elena	Patricia
We left the marshmallows off the cake but added them to the cupcake, as they were a poor match for the _ 's texture.	cake	cupcake
We left the marshmallows off the cake but added them to the cupcake, as they were a perfect match for the _ 's texture.	cake	cupcake
They went on a safari and saw a panda eating bamboo, which Megan loved but Elena didn't care about. _ 's favorite animal was the tiger.	Megan	Elena
They went on a safari and saw a panda eating bamboo, which Megan loved but Elena didn't care about. _ 's favorite animal was the panda.	Megan	Elena
The water that my mom bought was not enough to fill the fish bowl because the _ was to big.	water	bowl
The water that my mom bought was not enough to fill the fish bowl because the _ was to little.	water	bowl
I tried to pour all of the liquid into the small bottler, but I couldn't because the _ was too little.	liquid	bottle
I tried to pour all of the liquid into the small bottler, but I couldn't because the _ was too much.	liquid	bottle
The bowl was kept next to the stove because there wasn't enough room in the pan. The _ was deep.	bowl	pan
The bowl was kept next to the stove because there wasn't enough room in the pan. The _ was shallow.	bowl	pan
I tried to fit a kettle into the box but I could not because the _ was too small.	box	kettle
I tried to fit a kettle into the box but I could not because the _ was too big.	box	kettle
The movers took furniture out of the house and put it in the truck until the _ was full.	house	truck
The movers took furniture out of the house and put it in the truck until the _ was empty.	house	truck
Adam came over to Samuel's house to warm up with a cup of hot chocolate, since _ 's heater was broken.	Adam	Samuel
Adam came over to Samuel's house to warm up with a cup of hot chocolate, since _ 's heater was working.	Adam	Samuel
Leslie gave Ryan a big box of stuffed toys as a donation after _ 's child outgrew them.	Leslie	Ryan
Leslie gave Ryan a big box of stuffed toys as a donation when _ 's child was born.	Leslie	Ryan
The farmer grew his potatoes without using pesticides because he didn't want the _ to destroy.	potatoes	pesticides
The farmer grew his potatoes without using pesticides because he didn't want the _ to perish.	potatoes	pesticides
Ginger wasn't happy with her exercise routine, she replaced it with kick boxing. Because the _ was old.	routine	kick boxing
Ginger wasn't happy with her exercise routine, she replaced it with kick boxing. Because the _ was trendy.	routine	kick boxing
The tire was flat on the car but was full on the truck, because the _ had been recently repaired.	car	truck
The tire was flat on the car but was full on the truck, because the _ had not been repaired.	car	truck
Lawrence finishes off their shampoo bottle much faster than Kevin because _ has really long hair.	Lawrence	Kevin
Lawrence finishes off their shampoo bottle much faster than Kevin because _ has really short hair.	Lawrence	Kevin
Craig is known as an empty nester, although Justin isn't, because _ still has children living at home.	Craig	Justin
Craig is known as an empty nester, although Justin isn't, because _ doesn't have children living at home.	Craig	Justin
The box can store the food better than the bottle for storing lunch because the opening of the _ is narrow.	box	bottle
The box can store the food better than the bottle for storing lunch because the opening of the _ is wide.	box	bottle
He tried to put the iron in the box but the _ was too small.	iron	box
He tried to put the iron in the box but the _ was too big.	iron	box
Ryan found a lot of gold while panning for it, but Matthew did not, so _ was very pleased.	Ryan	Matthew
Ryan found a lot of gold while panning for it, but Matthew did not, so _ was very disappointed.	Ryan	Matthew
Martha liked to add a tablespoon of sugar instead of a cup to the cake because the _ made it too sweet.	tablespoon	cup
Martha liked to add a tablespoon of sugar instead of a cup to the cake because the _ made it less sweet.	tablespoon	cup
Betty told Megan that she was using teabags to help fertilize her garden.  _ was intrigued.	Betty	Megan
Betty told Megan that she was using teabags to help fertilize her garden.  _ was creative.	Betty	Megan
Kelly poured the entire bottle of dressing into the salad bowl until the _ was empty.	bottle	bowl
Kelly poured the entire bottle of dressing into the salad bowl until the _ was full.	bottle	bowl
Paul tripped in mud, got his straight pants dirty, and needed to put some clean leggings. He put on some skinny pants because the _ are dirty.	straight pants	skinny pants
Paul tripped in mud, got his straight pants dirty, and needed to put some clean leggings. He put on some skinny pants because the _ are clean.	straight pants	skinny pants
Birdwatching was Patricia 's favorite while Natalie found it boring, because _ was good at spotting rare birds.	Patricia	Natalie
Birdwatching was Patricia 's favorite while Natalie found it boring, because _ was bad at spotting rare birds.	Patricia	Natalie
The librarian tried to put the box into the library but the _ was too large.	library	box
The librarian tried to put the box into the library but the _ was too small.	library	box
The man wanted to put the box in the office but the _ was too large.	office	box
The man wanted to put the box in the office but the _ was too small.	office	box
When Betty wanted to organize her closet, instead of keeping things in cardboard boxes, she used plastic totes. The _ wouldn't last for a long time.	cardboard boxes	plastic totes
When Betty wanted to organize her closet, instead of keeping things in cardboard boxes, she used plastic totes. The _ would last for a long time.	cardboard boxes	plastic totes
Jennifer decided to travel the world, and invited Tanya to come, because _ wanted a companion.	Jennifer	Tanya
Jennifer decided to travel the world, and invited Tanya to come, because _ liked being a companion.	Jennifer	Tanya
The mad scientist poured acid from the test tube into the beaker until the _ was full.	beaker	test tube
The mad scientist poured acid from the test tube into the beaker until the _ was empty.	beaker	test tube
Adam embarrassingly confessed to Justin that _ sweater had shrunk and was full of dryer lint and cat hair.	Adam	Justin
Adam tactfully told Justin that _ sweater had shrunk and was full of dryer lint and cat hair.	Adam	Justin
The thermos of coffee spilled inside the backpack on the way to school, so the _ was now empty.	Thermos	Backpack
Mary used a box instead of an envelope to send a sweater she made because shipping within the _ is expensive.	envelope	box
Mary used a box instead of an envelope to send a sweater she made because shipping within the _ is cheap.	envelope	box
He recently bought new shirts but hadn't bought new pants for working out in awhile so the _ were worn down.	pants	shirts
He recently bought new shirts but hadn't bought new pants for working out in awhile so the _ were new.	pants	shirts
Brian usually washed the tiny spots from the glasses for Eric after dinner because _ had better vision.	Brian	Eric
Brian usually washed the tiny spots from the glasses for Eric after dinner because _ had worse vision.	Brian	Eric
I tried to fit the paper into my wallet, but I couldn't because the _ was too full.	paper	wallet
Mike wanted to balance the bottle on the shelf but the _ was too narrow.	shelf	bottle
Mike wanted to balance the bottle on the shelf but the _ was too broad.	shelf	bottle
Jared poured the distilled water from the jug into the aquarium until the _ was empty.	aquarium	jug
Jared poured the distilled water from the jug into the aquarium until the _ was full.	aquarium	jug
Brett really wanted to give Hunter a hand full of magic seeds but _ had none.	Brett	Hunter
Brett really wanted to give Hunter a hand full of magic seeds because _ had none.	Brett	Hunter
The bowl cracked but the vase was fine, because the _ was unprotected in the luggage.	bowl	vase
The bowl cracked but the vase was fine, because the _ was protected in the luggage.	bowl	vase
I hated my previous company compared to the business I am with now because the _ was horrible.	company	business
I hated my previous company compared to the business I am with now because the _ is amazing.	company	business
The system that Randy used was worse than that of Adam, because _ company was rich.	Randy	Adam
The system that Randy used was worse than that of Adam, because _ company was broke.	Randy	Adam
The field was full of wildlife at dawn, but was empty by dusk, as the _ was a more hospitable climate.	dawn	dusk
The field was full of wildlife at dawn, but was empty by dusk, as the _ was a more hostile climate.	dawn	dusk
Jill sterilized the bottles using the dishwasher instead of the sink because the water was too cold using the _ .	dishwasher	sink
Jill sterilized the bottles using the dishwasher instead of the sink because the water got hotter using the _ .	dishwasher	sink
She poured dog food into her dog's new bowl, but needed a bigger bowl since the _ was too abundant.	food	bowl
She poured dog food into her dog's new bowl, but needed a bigger bowl since the _ was too small.	food	bowl
Jessica was nervous when she walked into her interview for an administrative assistant with Laura _ was the potential employer.	Jessica	Laura
Nelson wanted to make fudge, so he asked Brett to melt some chocolate in a pot; _ was too busy to do it himself.	Nelson	Brett
Nelson wanted to make fudge, so he asked Brett to melt some chocolate in a pot; _ was able to do it for him.	Nelson	Brett
The chef used zucchinis instead of potatoes to make fries because the _ were older.	zucchinis	potatoes
The chef used zucchinis instead of potatoes to make fries because the _ were fresher.	zucchinis	potatoes
Kayla had a panic attack after their tense interaction with Laura, because _ was extremely intimidating.	Kayla	Laura
Kayla had a panic attack after their tense interaction with Laura, because _ was extremely traumatised.	Kayla	Laura
The salesman was selling accessories to the customers and sold a lot of ties but not bags because the _ were strange.	ties	bags
The salesman was selling accessories to the customers and sold a lot of ties but not bags because the _ were luxurious.	ties	bags
A recipe called for meat to be cooked in a crock pot but the _ was too thick.	crock pot	meat
A recipe called for meat to be cooked in a crock pot but the _ was too shallow.	crock pot	meat
Mary poured the entire bottle of cleaning soap into the sink until the _ was full.	bottle	sink
Mary poured the entire bottle of cleaning soap into the sink until the _ was empty.	bottle	sink
Julie poured the entire bottle of liquid soup into the pan on the stove until the _ was empty.	pan	bottle
Julie poured the entire bottle of liquid soup into the pan on the stove until the _ was full.	pan	bottle
The girl wore the shorts, but took the pants to the seamstress to be hemmed, because the _ were the right length.	shorts	pants
The girl wore the shorts, but took the pants to the seamstress be hemmed, because the _ were the wrong length.	shorts	pants
Mom was making pancakes for the kids this morning when she realized they were out of syrup.  I ran to the store to get the _ .	syrup	pancakes
Mom was making pancakes for the kids this morning when she realized they were out of syrup.  I ran to the store so they could enjoy the _ .	syrup	pancakes
Jim wanted to cook crawfish in the pot, but they would not fit, the _ was too large.	pot	crawfish
Jim wanted to cook crawfish in the pot, but they would not fit, the _ was too small.	pot	crawfish
Lily gave up making a bag with a sewing machine because of the thick instruction book and used hand sewing method instead because the _ is time consuming.	sewing machine	hand sewing method
Lily gave up making a bag with a sewing machine because of the thick instruction book  and used hand sewing method instead because the _ is time saving.	sewing machine	hand sewing method
The company that Angela worked for was far better than that of Christine because _ got many benefits.	Angela	Christine
The company that Angela worked for was far worse than that of Christine because _ got many benefits.	Angela	Christine
The water dripping below the wooden floor was collected by a bowl placed beneath it. The _ is impermeable.	floor	bowl
The water dripping below the wooden floor was collected by a bowl placed beneath it. The _ is porous.	floor	bowl
The roots of the plants started to grow out of the pots because the _ were too short.	roots	pots
The roots of the plants started to grow out of the pots because the _ were too long.	roots	pots
The German man got a bagel with his coffee and passed on the muffin. The _ looked mouthwatering to him.	bagel	muffin
The German man got a bagel with his coffee and passed on the muffin. The _ looked mediocre to him.	bagel	muffin
Nelson was too small to lift the box, so Samuel helped carry it and _ was thanked.	Nelson	Samuel
Nelson was too small to lift the box, so Samuel helped carry it and _ thanked them.	Nelson	Samuel
Jessica was looking for some new dress pants when Emily showed them an inexpensive pair that _ thought they could afford.	Jessica	Emily
Jessica was looking for some new dress pants when Emily showed them an expensive pair that _ just had to have.	Jessica	Emily
All of the sports balls wouldn't fit into the bags, because the _ were too few.	balls	bags
All of the sports balls wouldn't fit into the bags, because the _ were too many.	balls	bags
Angela tripped over Amy's potted plants because _ placed the plants in the open doorway.	Angela	Amy
Angela tripped over Amy's potted plants because _ didn't see the plants in the open doorway.	Angela	Amy
The food in Robert's pantry is plentiful, but this is not so for Ian because _ is poor.	Robert	Ian
The food in Robert's pantry is plentiful, but this is not so for Ian because _ is wealthy.	Robert	Ian
She wanted tights for the Peter Pan costume, but had to use tight-fitting pants instead, because she only had green _ .	tights	pants
She wanted tights for the Peter Pan costume, but had to use tight-fitting pants instead, because she had no green _ .	tights	pants
During the winter Jimmy needed to replace his old sweater but not his jacket because the _ was full of holes.	sweater	jacket
I poured water from a big and shiny glass into the small bottle until the _ was empty.	glass	bottle
I poured water from a big and shiny glass into the small bottle until the _ was full.	glass	bottle
Dennis was invited for an interview by Justin for a position at a new office. _ prepared by researching the company.	Dennis	Justin
To heal properly, the bandage had to be removed from the cut and replaced with ointment, as the _ was potent in curing the infection.	bandage	ointment
John broke the tablet when he placed the box on it not knowing the _ is fragile.	tablet	box
John broke the tablet when he placed the box on it not knowing the _ is heavy.	tablet	box
Bill changed from having his kids throw up in a bowl to a bucket, because the _ was more messy.	bowl	bucket
Bill changed from having his kids throw up in a bowl to a bucket, because the _ was more clean.	bowl	bucket
Knowing she would be very thirsty on the hike, the woman chose to take the flask instead of the bottle because the _ held less water.	flask	bottle
Knowing she would be very thirsty on the hike, the woman chose to take the flask instead of the bottle because the _ held more water.	flask	bottle
Neil was rather adept at molding clay but Logan didn't have the same skill at it. _ created an odd looking clay bowl.	Neil	Logan
Neil was rather adept at molding clay but Logan didn't have the same skill at it. _ created a magnificent looking clay bowl.	Neil	Logan
The pharmacist took the jars of medicated cream out of the box and put them on the shelf until the _ was empty.	shelf	box
The pharmacist took the jars of medicated cream out of the box and put them on the shelf until the _ was full.	shelf	box
Aaron was heating the sugar mixture in a pot on the stove. He made a real mess because the _ was too small.	pot	mixture
Aaron was heating the sugar mixture in a pot on the stove. He made a real mess because the _ was too big.	pot	mixture
The janitor wanted to put the garbage in the bag but the _  was too small.	garbage	bag
The janitor wanted to put the garbage in the bag but the _  was too large.	garbage	bag
The friendly waitress poured the strong black coffee from the pot into the mug until the _ was empty.	pot	mug
The friendly waitress poured the strong black coffee from the pot into the mug until the _ was full.	pot	mug
Kayla wanted an inexpensive cell phone while Lindsey wanted the latest smart phone. _ purchased an iPhoneXR phone from their cell company store.	Kayla	Lindsey
Kayla wanted an inexpensive cell phone while Lindsey wanted the latest smart phone. _ purchased a flip phone from their cell company store.	Kayla	Lindsey
Donovan chose the apple from the fruit bowl and left the banana, because the _ looked fresh.	banana	apple
Donovan chose the apple from the fruit bowl and left the banana, because the _ looked mushy.	banana	apple
The movers wanted to store the boxes in the offices but the _ were too large.	offices	boxes
The movers wanted to store the boxes in the offices but the _ were too small.	offices	boxes
The man unplugged the electric skillet and plugged in the crockpot, so the _ would warm.	skillet	crockpot
The man unplugged the electric skillet and plugged in the crockpot, so the _ would cool.	skillet	crockpot
The cake won the prize over the cupcake, because the _ was prettier and more delicious.	cake	cupcake
The cake won the prize over the cupcake, because the _ was uglier and less delicious.	cake	cupcake
Giving the baby a bottle was no issue for Robert unlike Brett because _ hated feeding babies.	Robert	Brett
Giving the baby a bottle was no issue for Robert unlike Brett because _ loved feeding babies.	Robert	Brett
Ken's dog preferred eating from the table and not his bowl, because food from the _ seemed ordinary to him.	table	bowl
Ken's dog preferred eating from the table and not his bowl, because food from the _ seemed special to him.	table	bowl
The company called back Erin for an interview but not Jessica because _ had more experience.	Erin	Jessica
The company called back Erin for an interview but not Jessica because _ had less experience.	Erin	Jessica
Mary was invited by Victoria to join a catering company, because _ wanted her to learn how to cook.	Mary	Victoria
Mary was invited by Victoria to join a catering company, but _ didn't know how to cook.	Mary	Victoria
The woman has 1 jar of nuts and 10 jars of beans in her pantry because the _ were scarce.	nuts	beans
The woman has 1 jar of nuts and 10 jars of beans in her pantry because the _ were plentiful.	nuts	beans
She couldn't move the ivy plants to the new pots because the _ were too small.	new pots	ivy plants
She couldn't move the ivy plants to the new pots because the _ were too large.	new pots	ivy plants
The full lobster was eaten by Megan and not Laura, because _ hated to eat seafood.	Megan	Laura
The full lobster was eaten by Megan and not Laura, because _ loved to eat seafood.	Megan	Laura
Samantha got a box of chocolates from Kayla, because _ told them how much they loved sweet treats.	Samantha	Kayla
Samantha got a box of chocolates from Kayla, because _ knew how much they loved sweet treats.	Samantha	Kayla
The manager wanted to set the company up in the office but the _ was too large.	office	company
The manager wanted to set the company up in the office but the _ was too small.	office	company
Bob poured the entire bowl of chips into his mouth for lunch until the _ was empty.	bowl	mouth
Bob poured the entire bowl of chips into his mouth for lunch until the _ was full.	bowl	mouth
The boy tried to put the ball in the bag but the _ was too large.	bag	ball
The boy tried to put the ball in the bag but the _ was too small.	bag	ball
The erupting volcano spewed molten lava, ash and smoke into the sky until the _ was empty.	sky	volcano
The plastic vase fooled no one, but the bowl looked like real silver, since the craftsmanship on the _ was deficient.	vase	bowl
The plastic vase fooled no one, but the bowl looked like real silver, since the craftsmanship on the _ was superior.	vase	bowl
Jumping in the water was never a problem for Jeffrey but it was for Derrick, because _ took boxing lessons as a child.	Jeffrey	Derrick
The new guns that our company bought don't fit in the cases because the _ are too short.	guns	cases
The new guns that our company bought don't fit in the cases because the _ are too long.	guns	cases
Patricia offered to give Rachel some of her potatoes, because _ had many in her pantry.	Patricia	Rachel
Patricia offered to give Rachel some of her potatoes, because _ had none in her pantry.	Patricia	Rachel
Patricia had coffee every morning and always made an extra cup, but Amy always refuse. _ loved the smooth taste.	Patricia	Amy
Patricia had coffee every morning and always made an extra cup, but Amy always refuse. _ couldn't stand the taste.	Patricia	Amy
Leslie chose the wrong size of pants for them self but not Brian because _ was realistic about their figure.	Leslie	Brian
Leslie chose the wrong size of pants for them self but not Brian because _ was delusional about their figure.	Leslie	Brian
Patricia was happy for Elena because _ had a wonderfully kind, generous, and thoughtful boyfriend.	Patricia	Elena
Patricia was happy for Elena because _ had a wonderfully kind, generous, and thoughtful nature.	Patricia	Elena
For his public speaking event, the man chose pants instead of shorts because the _ were appropriate.	shorts	pants
For his public speaking event, the man chose pants instead of shorts because the _ were inappropriate.	shorts	pants
I am reorganizing the kitchen and decided to sell the crockpot instead of the blender because the _ will used more often.	crockpot	blender
I am reorganizing the kitchen and decided to sell the crockpot instead of the blender because the _ will used less often.	crockpot	blender
Mary enjoys cooking muffins, but doesn't really care for cupcakes. To her, the _ are much more satisfying to make.	muffins	cupcakes
Mary enjoys cooking muffins, but doesn't really care for cupcakes. To her, the _ are much more troublesome to make.	muffins	cupcakes
The bottle was broken when the ice formed in it because the _ is small.	ice	bottle
The bottle was broken when the ice formed in it because the _ is big.	ice	bottle
Joseph but not Justin had to buy shampoo because _ did not have a head full of dirty hair.	Joseph	Justin
Joseph but not Justin had to buy shampoo because _ had a head full of dirty hair.	Joseph	Justin
At the barbecue, the collard greens were less of a hit than the mashed potatoes. The _ must have been seasoned just right.	collard greens	mashed potatoes
At the barbecue, the collard greens were less of a hit than the mashed potatoes. The _ must have been over seasoned.	collard greens	mashed potatoes
All of the medication that I bought wouldn't fit in my bag, because the _ was too tiny.	medication	bag
All of the medication that I bought wouldn't fit in my bag, because the _ was too much.	medication	bag
Jeffrey fed their guinea pig alfalfa, while Robert fearfully watched from a distance. _ was scared of guinea pigs.	Jeffrey	Robert
James needs another pot for the flower as it grows. The _ is getting too small.	flower	pot
James needs another pot for the flower as it grows. The _ is getting too big.	flower	pot
The chef wanted to store the apricots inside the bottles but the _ were too small.	bottles	apricots
The chef wanted to store the apricots inside the bottles but the _ were too large.	bottles	apricots
James needed more cups to serve if he was to empty the bottle of water. The _ is small.	cup	bottle
James needed more cups to serve if he was to empty the bottle of water. The _ is big.	cup	bottle
The flowers grew better in the pots than in the ground because there was fertilizer in the _ .	pots	ground
The flowers grew better in the pots than in the ground although there was fertilizer in the _ .	pots	ground
Red was _ ’s favourite colour, so it comes as no suprise that Monica’s house was full of rich warm scarlets and Kayla’s wardrobe was all cool metallic greys.	Monica	Kayla
Silver was _ ’s favourite colour, so it comes as no suprise that Monica’s house was full of rich warm scarlets and Kayla’s wardrobe was all cool metallic greys.	Monica	Kayla
It took longer for Christopher to carry their groceries from the car than it was for Michael although _ had more bags.	Christopher	Michael
It took longer for Christopher to carry their groceries from the car than it was for Michael because _ had more bags.	Christopher	Michael
The kids cannot carry the trashcan, but the mother thought they could since they were carrying the schoolbag. The _ is way lighter.	trashcan	schoolbag
The kids cannot carry the trashcan, but the mother thought they could since they were carrying the schoolbag. The _ is way heavier.	trashcan	schoolbag
Emily poured the entire bowl of white mushroom into the hot pan on the stove until it the _ was empty.	bowl	pan
Emily poured the entire bowl of white mushroom into the hot pan on the stove until it the _ was full.	bowl	pan
The gardener tried to put the flowers in the cups but the _ were too big.	flowers	cups
The gardener tried to put the flowers in the cups but the _ were too small.	flowers	cups
Leslie thinks the emo look is pretty fresh but Robert thinks it's trashy. _ bought dress pants at the clothing store.	Leslie	Robert
Going to a costume party seemed like a fun time to Robert but not to Nick, so _ went the store and bought a pant suit.	Robert	Nick
Aaron tossed their garbage on the street next to Michael's house, making _ an irritated person.	Aaron	Michael
Aaron tossed their garbage on the street next to Michael's house, making _ an inconsiderate person.	Aaron	Michael
No one could eat the salad without their face frowning and they all want a cup of juice after because the _ is sour.	salad	juice
No one could eat the salad without their face frowning and they all want a cup of juice after because the _ is sweet.	salad	juice
When there is an emergency, you can count on Maria but not on Monica as _  will cope with intense situation with panic.	Maria	Monica
I enjoyed doing things with my group more than with the company, because the _ was lame.	group	company
I enjoyed doing things with my group more than with the company, because the _ was fun.	group	company
Tanya declined to join the singing club after the club leader Maria invited her.  _ abhorred the spotlight.	Tanya	Maria
Tanya declined to join the singing club after the club leader Maria invited her.  _ loved the spotlight.	Tanya	Maria
She ordered the soup instead of the lasagna, because the _ don't suits her full hard food diet.	soup	lasagna
She ordered the soup instead of the lasagna, because the _ suits her full liquid diet.	soup	lasagna
Laura always needed a companion, but not Felicia because _ had a fear of being alone.	Laura	Felicia
Laura always needed a companion, but not Felicia because _ didn't have a fear of being alone.	Laura	Felicia
Ian owned a restaurant and Justin did not so _ knew how to cook rutabaga for customers.	Ian	Justin
Ian owned a restaurant and Justin did not so _ had no idea how to cook rutabaga for customers.	Ian	Justin
Not all students got bags to carry their balls because there were more of the _ available.	bags	balls
Not all students got bags to carry their balls because there were fewer of the _ available.	bags	balls
